Year,ClubLongName,ClubShortName,Points
2006,Seeclub Luzern,SC Luzern,60
2006,Ruderclub Baden,RC Baden,33
2006,Ruderclub Reuss Luzern,RC Reuss Luzern,19
2006,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,18
2006,Basler Ruder-Club,Basler RC,16
2006,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,14
2006,Forward Rowing Club Morges,Forward RC Morges,13
2006,Seeclub Zürich,SC Zürich,13
2006,Belvoir Ruderclub Zürich,Belvoir RC Zürich,11
2006,Ruderclub Thalwil,RC Thalwil,7
2006,Lausanne-Sports Section Aviron,Lausanne-Sports SA,6
2006,Seeclub Sursee,SC Sursee,6
2006,Club Aviron Vevey,CA Vevey,5
2006,Società Canottieri Locarno,SC Locarno,5
2006,Seeclub Küsnacht,SC Küsnacht,3
2006,Ruderclub Kreuzlingen,RC Kreuzlingen,2
2006,Rudergesellschaft Zürich,RG Zürich,1
2007,Seeclub Luzern,SC Luzern,92
2007,Ruderclub Reuss Luzern,RC Reuss Luzern,82
2007,Ruderclub Baden,RC Baden,64
2007,Seeclub Zürich,SC Zürich,40
2007,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,29
2007,Club Aviron Vésenaz,CA Vésenaz,25
2007,Lausanne-Sports Section Aviron,Lausanne-Sports SA,23
2007,Club Canottieri Lugano,CC Lugano,19
2007,Forward Rowing Club Morges,Forward RC Morges,17
2007,Belvoir Ruderclub Zürich,Belvoir RC Zürich,15
2007,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,15
2007,Rowing Club Bern,RC Bern,12
2007,Ruderclub Schaffhausen,RC Schaffhausen,9
2007,Ruderclub Thalwil,RC Thalwil,9
2007,Basler Ruder-Club,Basler RC,8
2007,Seeclub Sursee,SC Sursee,8
2007,Solothurner Ruderclub,Solothurner RC,8
2007,Rowing Club Lausanne,RC Lausanne,7
2007,Seeclub Arbon,SC Arbon,5
2007,Seeclub Stäfa,SC Stäfa,5
2007,Seeclub Biel,SC Biel,4
2007,Nordiska Roddföreningen Zürich,Nordiska Zürich,3
2007,Ruderclub Cham,RC Cham,3
2007,Club Aviron Vevey,CA Vevey,1
2007,Regattaverein Luzern,Regattaverein Luzern,1
2007,Seeclub Küsnacht,SC Küsnacht,1
2008,Ruderclub Baden,RC Baden,79
2008,Ruderclub Reuss Luzern,RC Reuss Luzern,71
2008,Seeclub Luzern,SC Luzern,43
2008,Ruderclub Schaffhausen,RC Schaffhausen,35
2008,Seeclub Zürich,SC Zürich,33
2008,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,28
2008,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,26
2008,Club Aviron Vésenaz,CA Vésenaz,23
2008,Ruderclub Thalwil,RC Thalwil,17
2008,Ruderclub Zürich,RC Zürich,17
2008,Lausanne-Sports Section Aviron,Lausanne-Sports SA,14
2008,Seeclub Stäfa,SC Stäfa,11
2008,Basler Ruder-Club,Basler RC,10
2008,Rowing Club Lausanne,RC Lausanne,9
2008,Solothurner Ruderclub,Solothurner RC,9
2008,Forward Rowing Club Morges,Forward RC Morges,7
2008,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,7
2008,Seeclub Biel,SC Biel,7
2008,Seeclub Küsnacht,SC Küsnacht,6
2008,Ruderclub Cham,RC Cham,5
2008,Ruderclub Hallwilersee,RC Hallwilersee,4
2008,Belvoir Ruderclub Zürich,Belvoir RC Zürich,3
2008,Ruderclub Sarnen,RC Sarnen,2
2008,Seeclub Sursee,SC Sursee,2
2008,Nordiska Roddföreningen Zürich,Nordiska Zürich,1
2008,Société Nautique de Neuchâtel,SN Neuchâtel,1
2009,Ruderclub Baden,RC Baden,81
2009,Seeclub Zürich,SC Zürich,45
2009,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,42
2009,Seeclub Luzern,SC Luzern,33
2009,Ruderclub Reuss Luzern,RC Reuss Luzern,31
2009,Basler Ruder-Club,Basler RC,26
2009,Seeclub Sempach,SC Sempach,22
2009,Ruderclub Zürich,RC Zürich,20
2009,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,17
2009,Club Aviron Vésenaz,CA Vésenaz,16
2009,Ruderclub Schaffhausen,RC Schaffhausen,14
2009,Ruderclub Thalwil,RC Thalwil,12
2009,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,11
2009,Solothurner Ruderclub,Solothurner RC,11
2009,Club Aviron Vevey,CA Vevey,8
2009,Ruderclub Cham,RC Cham,8
2009,Rowing Club Lausanne,RC Lausanne,6
2009,Seeclub Stansstad,SC Stansstad,6
2009,See-Club Zug,SC Zug,6
2009,Lausanne-Sports Section Aviron,Lausanne-Sports SA,5
2009,Ruderclub Hallwilersee,RC Hallwilersee,5
2009,Seeclub Stäfa,SC Stäfa,5
2009,Ruderclub Aarburg,RC Aarburg,4
2009,Ruderclub Sarnen,RC Sarnen,2
2009,Seeclub Küsnacht,SC Küsnacht,2
2009,Belvoir Ruderclub Zürich,Belvoir RC Zürich,1
2009,Ruderclub Blauweiss Basel,RC Blauweiss Basel,1
2009,Seeclub Sursee,SC Sursee,1
2009,Société Nautique de Neuchâtel,SN Neuchâtel,1
2010,Ruderclub Baden,RC Baden,96
2010,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,91
2010,Seeclub Zürich,SC Zürich,89
2010,Seeclub Luzern,SC Luzern,83
2010,Belvoir Ruderclub Zürich,Belvoir RC Zürich,45
2010,Société Nautique de Genève Section Aviron,SN Genève SA,45
2010,Ruderclub Schaffhausen,RC Schaffhausen,38
2010,Forward Rowing Club Morges,Forward RC Morges,35
2010,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,28
2010,Club Aviron Vevey,CA Vevey,27
2010,Basler Ruder-Club,Basler RC,22
2010,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,22
2010,Ruderclub Reuss Luzern,RC Reuss Luzern,22
2010,Ruderclub Zürich,RC Zürich,20
2010,Seeclub Sempach,SC Sempach,20
2010,Rowing Club Lausanne,RC Lausanne,18
2010,Seeclub Stansstad,SC Stansstad,17
2010,See-Club Zug,SC Zug,15
2010,Solothurner Ruderclub,Solothurner RC,14
2010,Ruderclub Cham,RC Cham,10
2010,Seeclub Küsnacht,SC Küsnacht,8
2010,Ruderclub Aarburg,RC Aarburg,6
2010,Seeclub Wädenswil,SC Wädenswil,6
2010,Ruderclub Hallwilersee,RC Hallwilersee,5
2010,Club Aviron Vésenaz,CA Vésenaz,4
2010,Seeclub Arbon,SC Arbon,4
2010,Lausanne-Sports Section Aviron,Lausanne-Sports SA,2
2010,Seeclub Biel,SC Biel,2
2010,Seeclub Stäfa,SC Stäfa,2
2010,Nordiska Roddföreningen Zürich,Nordiska Zürich,1
2010,Ruderclub Sarnen,RC Sarnen,1
2011,Ruderclub Baden,RC Baden,91
2011,Basler Ruder-Club,Basler RC,90
2011,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,72
2011,Seeclub Zürich,SC Zürich,63
2011,Seeclub Luzern,SC Luzern,48
2011,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,37
2011,Seeclub Biel,SC Biel,37
2011,Club Aviron Vevey,CA Vevey,34
2011,Forward Rowing Club Morges,Forward RC Morges,34
2011,Ruderclub Schaffhausen,RC Schaffhausen,33
2011,Ruderclub Blauweiss Basel,RC Blauweiss Basel,22
2011,Ruderclub Reuss Luzern,RC Reuss Luzern,21
2011,Ruderclub Zürich,RC Zürich,19
2011,Belvoir Ruderclub Zürich,Belvoir RC Zürich,17
2011,Ruderclub Thalwil,RC Thalwil,17
2011,Nordiska Roddföreningen Zürich,Nordiska Zürich,12
2011,Solothurner Ruderclub,Solothurner RC,12
2011,Lausanne-Sports Section Aviron,Lausanne-Sports SA,11
2011,Rowing Club Bern,RC Bern,9
2011,Ruderclub Hallwilersee,RC Hallwilersee,9
2011,See-Club Zug,SC Zug,9
2011,Club Canottieri Lugano,CC Lugano,8
2011,Seeclub Küsnacht,SC Küsnacht,8
2011,Société Nautique de Genève Section Aviron,SN Genève SA,8
2011,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,7
2011,Seeclub Sempach,SC Sempach,5
2011,Rowing Club Lausanne,RC Lausanne,4
2011,Ruderclub Cham,RC Cham,3
2011,Ruderclub Sarnen,RC Sarnen,1
2011,Seeclub Horgen,SC Horgen,1
2012,Basler Ruder-Club,Basler RC,108
2012,Seeclub Zürich,SC Zürich,107
2012,Ruderclub Baden,RC Baden,94
2012,See-Club Zug,SC Zug,60
2012,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,52
2012,Ruderclub Blauweiss Basel,RC Blauweiss Basel,49
2012,Belvoir Ruderclub Zürich,Belvoir RC Zürich,35
2012,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,35
2012,Ruderclub Schaffhausen,RC Schaffhausen,31
2012,Ruderclub Zürich,RC Zürich,26
2012,Ruderclub Thalwil,RC Thalwil,23
2012,Club Aviron Vevey,CA Vevey,21
2012,Lausanne-Sports Section Aviron,Lausanne-Sports SA,20
2012,Rowing Club Lausanne,RC Lausanne,20
2012,Ruderclub Reuss Luzern,RC Reuss Luzern,17
