Year,ClubLongName,ClubShortName,Points
2025,Seeclub Küsnacht,SC Küsnacht,62
2025,Basler Ruder-Club,Basler RC,56
2025,Seeclub Luzern,SC Luzern,55
2025,Seeclub Zürich,SC Zürich,36
2025,Lausanne-Sports Section Aviron,Lausanne-Sports SA,35
2025,Ruderclub Erlenbach,RC Erlenbach,34
2025,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,28
2025,Belvoir Ruderclub Zürich,Belvoir RC Zürich,23
2025,Club Aviron Vésenaz,CA Vésenaz,21
2025,Club Canottieri Lugano,CC Lugano,21
2025,Ruderclub Zürich,RC Zürich,19
2025,Club Aviron Vevey,CA Vevey,18
2025,Forward Rowing Club Morges,Forward RC Morges,16
2025,Rowing Club Lausanne,RC Lausanne,14
2025,Ruderclub Baden,RC Baden,14
2025,See-Club Zug,SC Zug,13
2025,Seeclub Sempach,SC Sempach,11
2025,Ruderclub Reuss Luzern,RC Reuss Luzern,9
2025,Ruderclub Thalwil,RC Thalwil,9
2025,Seeclub Stansstad,SC Stansstad,9
2025,Seeclub Stäfa,SC Stäfa,8
2025,Rowing Club Bern,RC Bern,7
2025,Seeclub Wädenswil,SC Wädenswil,6
2025,Ruderclub Rapperswil-Jona,RC Rapperswil-Jona,6
2025,Seeclub Richterswil,SC Richterswil,5
2025,Ruderclub Kreuzlingen,RC Kreuzlingen,5
2025,Ruderclub Uster,RC Uster,5
2025,SC Caslano e Malcantone,SC Caslano e Malcantone,5
2025,Solothurner Ruderclub,Solothurner RC,5
2025,Società Canottieri Locarno,SC Locarno,4
2025,Société Nautique de Genève Section Aviron,SN Genève SA,3
2025,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,3
2025,Seeclub Arbon,SC Arbon,3
2025,Ruderclub Cham,RC Cham,3
2025,Aviron Romand Zürich,Aviron Romand Zürich,3
2025,Società Canottieri Ceresio,SC Ceresio,2
2025,Nordiska Roddföreningen Zürich,Nordiska Zürich,2
2025,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,1
2025,Société Nautique Étoile Bienne,SN Étoile Bienne,1
2024,Basler Ruder-Club,Basler RC,54
2024,Belvoir Ruderclub Zürich,Belvoir RC Zürich,53
2024,Seeclub Luzern,SC Luzern,44
2024,Lausanne-Sports Section Aviron,Lausanne-Sports SA,30
2024,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,28
2024,Seeclub Küsnacht,SC Küsnacht,28
2024,Club Canottieri Lugano,CC Lugano,26
2024,Rowing Club Lausanne,RC Lausanne,26
2024,Seeclub Zürich,SC Zürich,23
2024,Ruderclub Zürich,RC Zürich,20
2024,Ruderclub Erlenbach,RC Erlenbach,20
2024,Rowing Club Bern,RC Bern,20
2024,See-Club Zug,SC Zug,18
2024,Seeclub Stansstad,SC Stansstad,17
2024,Seeclub Sempach,SC Sempach,16
2024,Club Aviron Vevey,CA Vevey,13
2024,Forward Rowing Club Morges,Forward RC Morges,9
2024,Seeclub Stäfa,SC Stäfa,9
2024,Ruderclub Schaffhausen,RC Schaffhausen,7
2024,Seeclub Biel,SC Biel,7
2024,Société Nautique de Genève Section Aviron,SN Genève SA,7
2024,Seeclub Richterswil,SC Richterswil,6
2024,Ruderclub Thalwil,RC Thalwil,6
2024,Società Canottieri Ceresio,SC Ceresio,5
2024,Ruderclub Rapperswil-Jona,RC Rapperswil-Jona,5
2024,Ruderclub Olten,RC Olten,5
2024,Ruderclub Baden,RC Baden,4
2024,Società Canottieri Audax,SC Audax,3
2024,Ruderclub Aarburg,RC Aarburg,3
2024,Rudergesellschaft Zürich,RG Zürich,3
2024,Ruderclub Rotsee Luzern,RC Rotsee Luzern,3
2024,Ruderclub Sarnen,RC Sarnen,3
2024,Seeclub Arbon,SC Arbon,3
2024,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,2
2024,Ruderclub Steckborn,RC Steckborn,2
2024,Seeclub Sursee,SC Sursee,2
2024,Société Nautique Étoile Bienne,SN Étoile Bienne,2
2024,Club Aviron Ville Fribourg,CA Ville Fribourg,2
2024,Société Nautique de Neuchâtel,SN Neuchâtel,2
2024,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,1
2024,Seeclub Wädenswil,SC Wädenswil,1
2024,Società Canottieri Locarno,SC Locarno,1
2023,Belvoir Ruderclub Zürich,Belvoir RC Zürich,53
2023,Lausanne-Sports Section Aviron,Lausanne-Sports SA,45
2023,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,43
2023,See-Club Zug,SC Zug,43
2023,Seeclub Luzern,SC Luzern,32
2023,Basler Ruder-Club,Basler RC,30
2023,Ruderclub Thalwil,RC Thalwil,27
2023,Club Canottieri Lugano,CC Lugano,25
2023,Ruderclub Zürich,RC Zürich,21
2023,Seeclub Zürich,SC Zürich,21
2023,Ruderclub Erlenbach,RC Erlenbach,18
2023,Rowing Club Lausanne,RC Lausanne,15
2023,Seeclub Biel,SC Biel,15
2023,Seeclub Sempach,SC Sempach,12
2023,Ruderclub Baden,RC Baden,12
2023,Forward Rowing Club Morges,Forward RC Morges,12
2023,Seeclub Küsnacht,SC Küsnacht,11
2023,Seeclub Stansstad,SC Stansstad,10
2023,Società Canottieri Locarno,SC Locarno,9
2023,SC Caslano e Malcantone,SC Caslano e Malcantone,8
2023,Società Canottieri Ceresio,SC Ceresio,7
2023,Seeclub Sursee,SC Sursee,7
2023,Rowing Club Bern,RC Bern,6
2023,Société Nautique de Genève Section Aviron,SN Genève SA,6
2023,Ruderclub Rapperswil-Jona,RC Rapperswil-Jona,6
2023,Solothurner Ruderclub,Solothurner RC,6
2023,Ruderclub Uster,RC Uster,5
2023,Société Nautique de Neuchâtel,SN Neuchâtel,5
2023,Club Aviron Vevey,CA Vevey,5
2023,Ruderclub Schaffhausen,RC Schaffhausen,4
2023,Club Aviron Vésenaz,CA Vésenaz,4
2023,Seeclub Richterswil,SC Richterswil,4
2023,Seeclub Stäfa,SC Stäfa,4
2023,Société Nautique Étoile Bienne,SN Étoile Bienne,3
2023,Ruderclub Olten,RC Olten,3
2023,Aviron Romand Zürich,Aviron Romand Zürich,3
2023,Ruderclub Rotsee Luzern,RC Rotsee Luzern,3
2023,Ruderclub Aarburg,RC Aarburg,2
2023,Seeclub Arbon,SC Arbon,2
2023,Club Aviron Ville Fribourg,CA Ville Fribourg,1
2023,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,1
2023,Ruderclub Cham,RC Cham,1
2023,Ruderclub Kreuzlingen,RC Kreuzlingen,1
2023,Ruderclub Steckborn,RC Steckborn,1
2023,Ruderclub Sarnen,RC Sarnen,1
2022,Belvoir Ruderclub Zürich,Belvoir RC Zürich,51
2022,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,45
2022,See-Club Zug,SC Zug,39
2022,Club Canottieri Lugano,CC Lugano,37
2022,Seeclub Luzern,SC Luzern,34
2022,Lausanne-Sports Section Aviron,Lausanne-Sports SA,30
2022,Ruderclub Thalwil,RC Thalwil,25
2022,Ruderclub Baden,RC Baden,22
2022,Forward Rowing Club Morges,Forward RC Morges,21
2022,Seeclub Zürich,SC Zürich,21
2022,Seeclub Stansstad,SC Stansstad,20
2022,Club Aviron Vésenaz,CA Vésenaz,19
2022,Rowing Club Lausanne,RC Lausanne,19
2022,Club Aviron Vevey,CA Vevey,17
2022,Ruderclub Erlenbach,RC Erlenbach,17
2022,Basler Ruder-Club,Basler RC,16
2022,Ruderclub Uster,RC Uster,14
2022,Société Nautique de Neuchâtel,SN Neuchâtel,14
2022,Seeclub Küsnacht,SC Küsnacht,13
2022,Seeclub Stäfa,SC Stäfa,12
2022,Rowing Club Bern,RC Bern,11
2022,Seeclub Biel,SC Biel,10
2022,Ruderclub Zürich,RC Zürich,9
2022,Società Canottieri Ceresio,SC Ceresio,9
2022,SC Caslano e Malcantone,SC Caslano e Malcantone,6
2022,Seeclub Sempach,SC Sempach,6
2022,Nordiska Roddföreningen Zürich,Nordiska Zürich,5
2022,Seeclub Arbon,SC Arbon,5
2022,Società Canottieri Locarno,SC Locarno,5
2022,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,4
